,tailnum,manufacturer,model,seats
1258,N445WN,BOEING,737-7H4,140
1259,N446UA,AIRBUS INDUSTRIE,A320-232,200
1260,N446WN,BOEING,737-7H4,140
1261,N447UA,AIRBUS INDUSTRIE,A320-232,200
1262,N447WN,BOEING,737-7H4,140
1263,N448UA,AIRBUS INDUSTRIE,A320-232,200
1264,N448WN,BOEING,737-7H4,140
1265,N449UA,AIRBUS INDUSTRIE,A320-232,200
1266,N449US,BOEING,737-4B7,149
1267,N449WN,BOEING,737-7H4,140
1268,N450UW,BOEING,737-4B7,149
1269,N450WN,BOEING,737-7H4,140
1270,N451UA,AIRBUS INDUSTRIE,A320-232,200
1271,N451WN,BOEING,737-7H4,140
1272,N452UA,AIRBUS INDUSTRIE,A320-232,200
1273,N452UW,BOEING,737-4B7,149
1274,N452WN,BOEING,737-7H4,140
1275,N453UA,AIRBUS INDUSTRIE,A320-232,200
1276,N453UW,BOEING,737-4B7,149
1277,N453WN,BOEING,737-7H4,140
1278,N45440,BOEING,737-924ER,191
1279,N454AA,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
1280,N454UA,AIRBUS INDUSTRIE,A320-232,200
1281,N454WN,BOEING,737-7H4,140
1282,N455AA,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
1283,N455UA,AIRBUS INDUSTRIE,A320-232,200
1284,N455UW,BOEING,737-4B7,149
1285,N455WN,BOEING,737-7H4,140
1286,N456AA,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
1287,N456UA,AIRBUS INDUSTRIE,A320-232,200
1288,N456WN,BOEING,737-7H4,140
1289,N457UA,AIRBUS INDUSTRIE,A320-232,200
1290,N457WN,BOEING,737-7H4,140
1291,N458UA,AIRBUS INDUSTRIE,A320-232,200
1292,N458WN,BOEING,737-7H4,140
1293,N45905,BOEING,787-8,260
1294,N459UA,AIRBUS INDUSTRIE,A320-232,200
1295,N459WN,BOEING,737-7H4,140
1296,N460UA,AIRBUS INDUSTRIE,A320-232,200
1297,N460UW,BOEING,737-4B7,149
1298,N460WN,BOEING,737-7H4,140
1299,N461UA,AIRBUS INDUSTRIE,A320-232,200
1300,N461WN,BOEING,737-7H4,140
1301,N462UA,AIRBUS INDUSTRIE,A320-232,200
1302,N462WN,BOEING,737-7H4,140
1303,N463UA,AIRBUS INDUSTRIE,A320-232,200
1304,N463WN,BOEING,737-7H4,140
1305,N464UA,AIRBUS INDUSTRIE,A320-232,200
1306,N464WN,BOEING,737-7H4,140
1307,N465UA,AIRBUS INDUSTRIE,A320-232,200
1308,N465WN,BOEING,737-7H4,140
1309,N466AA,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
1310,N466UA,AIRBUS INDUSTRIE,A320-232,200
1311,N466WN,BOEING,737-7H4,140
1312,N467AA,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
1313,N467UA,AIRBUS INDUSTRIE,A320-232,200
1314,N467WN,BOEING,737-7H4,140
1315,N468AA,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
1316,N468UA,AIRBUS INDUSTRIE,A320-232,200
1317,N468WN,BOEING,737-7H4,140
1318,N469AA,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
1319,N469UA,AIRBUS INDUSTRIE,A320-232,200
1320,N469WN,BOEING,737-7H4,140
1321,N470AA,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
1322,N470UA,AIRBUS INDUSTRIE,A320-232,200
1323,N470WN,BOEING,737-7H4,140
1324,N471AA,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
1325,N471UA,AIRBUS INDUSTRIE,A320-232,200
1326,N472AA,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
1327,N472UA,AIRBUS INDUSTRIE,A320-232,200
1328,N472WN,BOEING,737-7H4,140
1329,N473AA,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
1330,N473UA,AIRBUS INDUSTRIE,A320-232,200
1331,N473WN,BOEING,737-7H4,140
1332,N47414,BOEING,737-924ER,191
1333,N474UA,AIRBUS INDUSTRIE,A320-232,200
1334,N474WN,BOEING,737-7H4,140
1335,N475AA,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
1336,N475UA,AIRBUS INDUSTRIE,A320-232,200
1337,N475WN,BOEING,737-7H4,140
1338,N476AA,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
1339,N476UA,AIRBUS INDUSTRIE,A320-232,200
1340,N476WN,BOEING,737-7H4,140
1341,N477AA,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
1342,N477UA,AIRBUS INDUSTRIE,A320-232,200
1343,N477WN,BOEING,737-7H4,140
1344,N478AA,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
1345,N478UA,AIRBUS INDUSTRIE,A320-232,200
1346,N478WN,BOEING,737-7H4,140
1347,N479AA,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
1348,N479UA,AIRBUS INDUSTRIE,A320-232,200
1349,N479WN,BOEING,737-7H4,140
1350,N480AA,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
1351,N480UA,AIRBUS INDUSTRIE,A320-232,200
1352,N480WN,BOEING,737-7H4,140
1353,N48127,BOEING,757-224,178
1354,N481AA,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
1355,N481UA,AIRBUS INDUSTRIE,A320-232,200
1356,N481WN,BOEING,737-7H4,140
1357,N482AA,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
1358,N482UA,AIRBUS INDUSTRIE,A320-232,200
1359,N482WN,BOEING,737-7H4,140
1360,N483UA,AIRBUS INDUSTRIE,A320-232,200
1361,N483WN,BOEING,737-7H4,140
1362,N484AA,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
1363,N484UA,AIRBUS INDUSTRIE,A320-232,200
1364,N484WN,BOEING,737-7H4,140
1365,N485AA,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
1366,N485UA,AIRBUS INDUSTRIE,A320-232,200
1367,N485WN,BOEING,737-7H4,140
1368,N486AA,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
1369,N486UA,AIRBUS INDUSTRIE,A320-232,200
1370,N486WN,BOEING,737-7H4,140
1371,N487AA,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
1372,N487UA,AIRBUS INDUSTRIE,A320-232,200
1373,N487WN,BOEING,737-7H4,140
1374,N488AA,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
1375,N488UA,AIRBUS INDUSTRIE,A320-232,200
1376,N488WN,BOEING,737-7H4,140
1377,N48901,EMBRAER,EMB-145LR,55
1378,N489AA,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
1379,N489UA,AIRBUS,A320-232,200
1380,N489WN,BOEING,737-7H4,140
1381,N490AA,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
1382,N490UA,AIRBUS,A320-232,200
1383,N490WN,BOEING,737-7H4,140
1384,N491AA,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
1385,N491UA,AIRBUS,A320-232,200
1386,N491WN,BOEING,737-7H4,140
1387,N492AA,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
1388,N492UA,AIRBUS,A320-232,200
1389,N492WN,BOEING,737-7H4,140
1390,N493AA,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
1391,N493UA,AIRBUS,A320-232,200
1392,N493WN,BOEING,737-7H4,140
1393,N494AA,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
1394,N494UA,AIRBUS,A320-232,200
1395,N494WN,BOEING,737-7H4,140
1396,N495UA,AIRBUS,A320-232,200
1397,N495WN,BOEING,737-7H4,140
1398,N496AA,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
1399,N496UA,AIRBUS,A320-232,200
1400,N496WN,BOEING,737-7H4,140
1401,N497UA,AIRBUS,A320-232,200
1402,N497WN,BOEING,737-7H4,140
1403,N498UA,AIRBUS,A320-232,200
1404,N498WN,BOEING,737-7H4,140
1405,N499AA,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
1406,N499WN,BOEING,737-7H4,140
1407,N501AA,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
1408,N501MJ,BOMBARDIER INC,CL-600-2C10,80
1409,N501US,BOEING,757-251,178
1410,N502MJ,BOMBARDIER INC,CL-600-2C10,80
1411,N502UA,BOEING,757-222,178
1412,N503JB,AIRBUS INDUSTRIE,A320-232,200
1413,N503MJ,BOMBARDIER INC,CL-600-2C10,80
1414,N503UA,BOEING,757-222,178
1415,N503US,BOEING,757-251,178
1416,N504JB,AIRBUS INDUSTRIE,A320-232,200
1417,N504MJ,BOMBARDIER INC,CL-600-2C10,80
1418,N504UA,BOEING,757-222,178
1419,N505AA,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
1420,N505JB,AIRBUS INDUSTRIE,A320-232,200
1421,N505MJ,BOMBARDIER INC,CL-600-2C10,80
1422,N505SW,BOEING,737-5H4,149
1423,N505UA,BOEING,757-222,178
1424,N506AS,BOEING,737-890,149
1425,N506JB,AIRBUS INDUSTRIE,A320-232,200
1426,N506MJ,BOMBARDIER INC,CL-600-2C10,80
1427,N507AY,AIRBUS,A321-231,379
1428,N507MJ,BOMBARDIER INC,CL-600-2C10,80
1429,N507US,BOEING,757-251,178
1430,N508AA,BELL,206B,5
1431,N508AS,BOEING,737-890,149
1432,N508AY,AIRBUS,A321-231,379
1433,N508JB,CIRRUS DESIGN CORP,SR22,4
1434,N508MJ,BOMBARDIER INC,CL-600-2C10,80
1435,N508SW,BOEING,737-5H4,149
1436,N508UA,BOEING,757-222,178
1437,N509AY,AIRBUS,A321-231,379
1438,N509JB,AIRBUS INDUSTRIE,A320-232,200
1439,N509MJ,BOMBARDIER INC,CL-600-2C10,80
1440,N509SW,BOEING,737-5H4,149
1441,N509UA,BOEING,757-222,178
1442,N510JB,AIRBUS INDUSTRIE,A320-232,200
1443,N510MJ,BOMBARDIER INC,CL-600-2C10,80
1444,N510SW,BOEING,737-5H4,149
1445,N510UA,BOEING,757-222,178
1446,N510UW,AIRBUS,A321-231,379
1447,N511MJ,BOMBARDIER INC,CL-600-2C10,80
1448,N511SW,BOEING,737-5H4,149
1449,N511UA,BOEING,757-222,178
1450,N512AS,BOEING,737-890,149
1451,N512MJ,BOMBARDIER INC,CL-600-2C10,80
1452,N512SW,BOEING,737-5H4,149
1453,N512UA,BOEING,757-222,178
1454,N513AA,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
1455,N513AS,BOEING,737-890,149
1456,N513MJ,BOMBARDIER INC,CL-600-2C10,80
1457,N513UA,BOEING,757-222,178
1458,N514AS,BOEING,737-890,149
1459,N514MJ,BOMBARDIER INC,CL-600-2C10,80
1460,N514SW,BOEING,737-5H4,149
1461,N514UA,BOEING,757-222,178
1462,N515MJ,BOMBARDIER INC,CL-600-2C10,80
1463,N515SW,BOEING,737-5H4,149
1464,N515UA,BOEING,757-222,178
1465,N516AS,BOEING,737-890,149
1466,N516JB,AIRBUS INDUSTRIE,A320-232,200
1467,N516LR,BOMBARDIER INC,CL-600-2C10,80
1468,N516UA,BOEING,757-222,178
1469,N517AA,HURLEY JAMES LARRY,FALCON-XP,2
1470,N517AS,BOEING,737-890,149
1471,N517JB,AIRBUS INDUSTRIE,A320-232,200
1472,N517UA,BOEING,757-222,178
1473,N518AS,BOEING,737-890,149
1474,N518LR,BOMBARDIER INC,CL-600-2C10,80
1475,N518UA,BOEING,757-222,178
1476,N519AA,CESSNA,550,8
1477,N519AS,BOEING,737-890,149
1478,N519JB,AIRBUS INDUSTRIE,A320-232,200
1479,N519LR,BOMBARDIER INC,CL-600-2C10,80
1480,N519MQ,CESSNA,A185F,6
1481,N519UA,BOEING,757-222,178
1482,N519US,BOEING,757-251,178
1483,N519UW,AIRBUS,A321-231,379
1484,N520AA,KILDALL GARY,FALCON-XP,2
1485,N520AS,BOEING,737-890,149
1486,N520JB,AIRBUS INDUSTRIE,A320-232,200
1487,N520UA,BOEING,757-222,178
1488,N520UW,AIRBUS,A321-231,379
1489,N521AA,STEWART MACO,FALCON-XP,2
1490,N521JB,AIRBUS INDUSTRIE,A320-232,200
1491,N521LR,BOMBARDIER INC,CL-600-2C10,80
1492,N521SW,BOEING,737-5H4,149
1493,N521UA,BOEING,757-222,178
1494,N521US,BOEING,757-251,178
1495,N521UW,AIRBUS,A321-231,379
1496,N521VA,AIRBUS,A319-115,147
1497,N522LR,BOMBARDIER INC,CL-600-2C10,80
1498,N522SW,BOEING,737-5H4,149
1499,N522UA,BOEING,757-222,178
1500,N522US,BOEING,757-251,178
1501,N522VA,AIRBUS,A319-115,147
1502,N523AS,BOEING,737-890,149
1503,N523JB,AIRBUS INDUSTRIE,A320-232,200
1504,N523SW,BOEING,737-5H4,149
1505,N523UA,BOEING,757-222,178
1506,N523US,BOEING,757-251,178
1507,N523UW,AIRBUS,A321-231,379
1508,N523VA,AIRBUS,A319-112,100
1509,N524AS,BOEING,737-890,149
1510,N524JB,AIRBUS INDUSTRIE,A320-232,200
1511,N524SW,BOEING,737-5H4,149
1512,N524UA,BOEING,757-222,178
1513,N524UW,AIRBUS,A321-231,379
1514,N524VA,AIRBUS,A319-112,100
1515,N525AA,PIPER,PA-31-350,8
1516,N525AS,BOEING,737-890,149
1517,N525SW,BOEING,737-5H4,149
1518,N525US,BOEING,757-251,178
1519,N525VA,AIRBUS,A319-112,100
1520,N526AS,BOEING,737-890,149
1521,N526SW,BOEING,737-5H4,149
1522,N526UA,BOEING,757-222,178
1523,N526VA,AIRBUS,A319-112,100
1524,N527AS,BOEING,737-890,149
1525,N527SW,BOEING,737-5H4,149
1526,N527VA,AIRBUS,A319-112,100
1527,N528AA,LAMBERT RICHARD,FALCON XP,2
1528,N528AS,BOEING,737-890,149
1529,N528UA,BOEING,757-222,178
1530,N528VA,AIRBUS,A319-112,100
1531,N529AS,BOEING,737-890,149
1532,N529JB,AIRBUS INDUSTRIE,A320-232,200
1533,N529UA,BOEING,757-222,178
1534,N529VA,AIRBUS,A319-112,100
1535,N530AS,BOEING,737-890,149
1536,N530UA,BOEING,757-222,178
1537,N530US,BOEING,757-251,178
1538,N530VA,AIRBUS,A319-115,147
1539,N531AS,BOEING,737-890,149
1540,N531JB,BARKER JACK L,ZODIAC 601HDS,2
1541,N531US,BOEING,757-251,178
1542,N532AS,BOEING,737-890,149
1543,N532US,BOEING,757-251,178
1544,N533AS,BOEING,737-890,149
1545,N533UA,BOEING,757-222,178
1546,N533US,BOEING,757-251,178
1547,N53441,BOEING,737-924ER,191
1548,N53442,BOEING,737-924ER,191
1549,N534AS,BOEING,737-890,149
1550,N534JB,AIRBUS INDUSTRIE,A320-232,200
1551,N534UA,BOEING,757-222,178
1552,N534US,BOEING,757-251,178
1553,N534UW,AIRBUS,A321-231,379
1554,N535AS,BOEING,737-890,149
1555,N535JB,AIRBUS INDUSTRIE,A320-232,200
1556,N535UA,BOEING,757-222,178
1557,N535UW,AIRBUS,A321-231,379
1558,N536AA,AMERICAN AIRCRAFT INC,FALCON XP,2
1559,N536AS,BOEING,737-890,149
1560,N536JB,AIRBUS,A320-232,200
1561,N536UA,BOEING,757-222,178
1562,N536UW,AIRBUS,A321-231,379
1563,N537AS,BOEING,737-890,149
1564,N537JB,ROBINSON HELICOPTER CO,R66,5
1565,N537UA,BOEING,757-222,178
1566,N537UW,AIRBUS,A321-231,379
1567,N538AS,BOEING,737-890,149
1568,N538CA,BOMBARDIER INC,CL-600-2D24,95
1569,N538UA,BOEING,757-222,178
1570,N538UW,AIRBUS,A321-231,379
1571,N539UA,BOEING,757-222,178
1572,N539US,BOEING,757-251,178
1573,N539UW,AIRBUS,A321-231,379
1574,N540AA,AMERICAN AIRCRAFT INC,FALCON XP,2
1575,N540US,BOEING,757-251,178
1576,N540UW,AIRBUS,A321-231,379
1577,N541UA,BOEING,757-222,178
1578,N541US,BOEING,757-251,178
1579,N541UW,AIRBUS,A321-231,379
1580,N54241,BOEING,737-824,149
1581,N542US,BOEING,757-251,178
1582,N542UW,AIRBUS,A321-231,379
1583,N543UA,BOEING,757-222,178
1584,N543US,BOEING,757-251,178
1585,N543UW,AIRBUS,A321-231,379
1586,N544AA,FRIEDEMANN JON,VANS AIRCRAFT RV6,2
1587,N544UA,BOEING,757-222,178
1588,N544UW,AIRBUS,A321-231,379
1589,N545AA,PIPER,PA-32R-300,7
1590,N545UA,BOEING,757-222,178
1591,N545UW,AIRBUS,A321-231,379
1592,N546AS,BOEING,737-890,149
1593,N546UA,BOEING,757-222,178
1594,N546UW,AIRBUS,A321-231,379
1595,N54711,BOEING,737-724,149
1596,N547JB,AIRBUS,A320-232,200
1597,N547UA,BOEING,757-222,178
1598,N547US,BOEING,757-251,178
1599,N547UW,AIRBUS,A321-231,379
1600,N548AS,BOEING,737-890,149
1601,N548UA,BOEING,757-222,178
1602,N548US,BOEING,757-251,178
1603,N548UW,AIRBUS,A321-231,379
1604,N549AS,BOEING,737-8FH,149
1605,N549UA,BOEING,757-222,178
1606,N549US,BOEING,757-251,178
1607,N549UW,AIRBUS,A321-231,379
1608,N550NW,BOEING,757-251,178
1609,N550UA,BOEING,757-222,178
1610,N550UW,AIRBUS,A321-231,379
1611,N550WN,BOEING,737-76Q,149
1612,N551AA,LEBLANC GLENN T,FALCON XP,2
1613,N551AS,BOEING,737-890,149
1614,N551NW,BOEING,757-251,178
1615,N551UA,BOEING,757-222,178
1616,N551UW,AIRBUS,A321-231,379
1617,N551WN,BOEING,737-76Q,149
1618,N552AA,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
1619,N552AS,BOEING,737-890,149
1620,N552JB,AIRBUS,A320-232,200
1621,N552NW,BOEING,757-251,178
1622,N552UA,BOEING,757-222,178
1623,N552UW,AIRBUS,A321-231,379
1624,N552WN,BOEING,737-7BX,149
1625,N553AA,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
1626,N553AS,BOEING,737-890,149
1627,N553NW,BOEING,757-251,178
1628,N553UA,BOEING,757-222,178
1629,N553UW,AIRBUS,A321-231,379
1630,N553WN,BOEING,737-7BX,149
1631,N554AA,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
1632,N554JB,AIRBUS,A320-232,200
1633,N554NW,BOEING,757-251,178
1634,N554UA,BOEING,757-222,178
1635,N554UW,AIRBUS,A321-231,379
1636,N554WN,BOEING,737-7BX,149
1637,N555AY,AIRBUS,A321-231,379
1638,N555LV,BOEING,737-7BD,149
1639,N555NW,BOEING,757-251,178
1640,N555UA,BOEING,757-222,178
1641,N556AA,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
1642,N556AS,BOEING,737-890,149
1643,N556JB,AIRBUS,A320-232,200
1644,N556NW,BOEING,757-251,178
1645,N556UA,BOEING,757-222,178
1646,N556UW,AIRBUS,A321-231,379
1647,N556WN,BOEING,737-7BD,149
1648,N557AA,MARZ BARRY,KITFOX IV,2
1649,N557AS,BOEING,737-890,149
1650,N557NW,BOEING,757-251,178
1651,N557UA,BOEING,757-222,178
1652,N557UW,AIRBUS,A321-231,379
1653,N558AA,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
1654,N558AS,BOEING,737-890,149
1655,N558JB,AIRBUS,A320-232,200
1656,N558UA,BOEING,757-222,178
1657,N558UW,AIRBUS,A321-231,379
1658,N559AA,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
1659,N559AS,BOEING,737-890,149
1660,N559JB,AIRBUS,A320-232,200
1661,N559UA,BOEING,757-222,178
1662,N559UW,AIRBUS,A321-231,379
1663,N560AA,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
1664,N560AS,BOEING,737-890,149
1665,N560UA,BOEING,757-222,178
1666,N560UW,AIRBUS,A321-231,379
1667,N561AA,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
1668,N561JB,AIRBUS,A320-232,200
1669,N561UA,BOEING,757-222,178
1670,N561UW,AIRBUS,A321-231,379
1671,N562AS,BOEING,737-890,149
1672,N562JB,AIRBUS,A320-232,200
1673,N562UA,BOEING,757-222,178
1674,N562UW,AIRBUS,A321-231,379
1675,N563AS,BOEING,737-890,149
1676,N563JB,AIRBUS,A320-232,200
1677,N563UA,BOEING,757-222,178
1678,N563UW,AIRBUS,A321-231,379
1679,N564AA,MCDONNELL DOUGLAS,DC-9-83(MD-83),172
1680,N564AS,BOEING,737-890,149
1681,N564JB,AIRBUS,A320-232,200
1682,N564UA,BOEING,757-222,178
1683,N564UW,AIRBUS,A321-231,379
1684,N565AA,MCDONNELL DOUGLAS,DC-9-83(MD-83),172
1685,N565AS,BOEING,737-890,149
1686,N565JB,AIRBUS,A320-232,200
1687,N565UA,BOEING,757-222,178
1688,N565UW,AIRBUS,A321-231,379
1689,N566AA,MCDONNELL DOUGLAS,DC-9-83(MD-83),172
1690,N566AS,BOEING,737-890,149
1691,N566JB,AIRBUS,A320-232,200
1692,N566UA,BOEING,757-222,178
1693,N566UW,AIRBUS,A321-231,379
1694,N567AA,DEHAVILLAND,OTTER DHC-3,16
1695,N567UA,BOEING,757-222,178
1696,N567UW,AIRBUS,A321-231,379
1697,N56859,BOEING,757-324,275
1698,N568AA,MCDONNELL DOUGLAS,DC-9-83(MD-83),172
1699,N568AS,BOEING,737-890,149
1700,N568JB,AIRBUS,A320-232,200
1701,N568UA,BOEING,757-222,178
1702,N568UW,AIRBUS,A321-231,379
1703,N569AA,MCDONNELL DOUGLAS,DC-9-83(MD-83),172
1704,N569AS,BOEING,737-890,149
1705,N569JB,AIRBUS,A320-232,200
1706,N569UA,BOEING,757-222,178
1707,N569UW,AIRBUS,A321-231,379
1708,N57016,BOEING,777-224,400
1709,N570AA,MCDONNELL DOUGLAS,DC-9-83(MD-83),172
1710,N570AS,BOEING,737-890,149
1711,N570JB,AIRBUS,A320-232,200
1712,N570UA,BOEING,757-222,178
1713,N570UW,AIRBUS,A321-231,379
1714,N57111,BOEING,757-224,178
1715,N571AA,MCDONNELL DOUGLAS,DC-9-83(MD-83),172
1716,N571JB,AIRBUS,A320-232,200
1717,N571UA,BOEING,757-222,178
1718,N571UW,AIRBUS,A321-231,379
1719,N572UW,AIRBUS INDUSTRIE,A321-231,379
1720,N573AA,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
1721,N573UA,BOEING,757-222,178
1722,N57439,BOEING,737-924ER,191
1723,N574AA,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
1724,N574UA,BOEING,757-222,178
1725,N575AA,CESSNA,210-5(205),6
1726,N575UA,BOEING,757-222,178
1727,N576AA,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
1728,N576UA,BOEING,757-222,178
1729,N577AS,BOEING,737-890,149
1730,N577UA,BOEING,757-222,178
1731,N57852,BOEING,757-324,275
1732,N57855,BOEING,757-324,275
1733,N57857,BOEING,757-324,275
1734,N57862,BOEING,757-33N,275
1735,N57863,BOEING,757-33N,275
1736,N57864,BOEING,757-33N,275
1737,N57868,BOEING,757-33N,275
1738,N57869,BOEING,757-33N,275
1739,N57870,BOEING,757-33N,275
1740,N578AA,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
1741,N578UA,BOEING,757-222,178
1742,N579AS,BOEING,737-890,149
1743,N579JB,AIRBUS,A320-232,200
1744,N579UA,BOEING,757-222,178
1745,N580JB,AIRBUS,A320-232,200
1746,N580UA,BOEING,757-222,178
1747,N58101,BOEING,757-224,178
1748,N581AA,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
1749,N581AS,BOEING,737-890,149
1750,N582AA,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
1751,N582CA,BOMBARDIER INC,CL-600-2D24,95
1752,N583AA,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
1753,N583AS,BOEING,737-890,149
1754,N583JB,AIRBUS,A320-232,200
1755,N584AA,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
1756,N584AS,BOEING,737-890,149
1757,N584JB,AIRBUS,A320-232,200
1758,N585AA,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
1759,N585AS,BOEING,737-890,149
1760,N585JB,AIRBUS,A320-232,200
1761,N585UA,BOEING,757-222,178
1762,N586AA,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
1763,N586AS,BOEING,737-890,149
1764,N586JB,AIRBUS,A320-232,200
1765,N587AA,MCDONNELL DOUGLAS,DC-9-82(MD-82),172
1766,N587AS,BOEING,737-890,149
1767,N587JB,AIRBUS,A320-232,200
1768,N587NW,BOEING,757-351,275
1769,N587UA,BOEING,757-222,178
1770,N588JB,AIRBUS,A320-232,200
1771,N588UA,BOEING,757-222,178
1772,N589AA,MCDONNELL DOUGLAS,DC-9-83(MD-83),172
1773,N589AS,BOEING,737-890,149
1774,N589JB,AIRBUS,A320-232,200
1775,N589UA,BOEING,757-222,178
1776,N59053,BOEING,767-424ER,292
1777,N590AA,MCDONNELL DOUGLAS,DC-9-83(MD-83),172
1778,N590AS,BOEING,737-890,149
1779,N590JB,AIRBUS,A320-232,200
1780,N590NW,BOEING,757-351,275
1781,N590UA,BOEING,757-222,178
1782,N591AA,MCDONNELL DOUGLAS,DC-9-83(MD-83),172
1783,N591JB,AIRBUS,A320-232,200
1784,N592AA,MCDONNELL DOUGLAS,DC-9-83(MD-83),172
1785,N592AS,BOEING,737-890,149
1786,N592JB,AIRBUS,A320-232,200
1787,N593AA,MCDONNELL DOUGLAS,DC-9-83(MD-83),172
1788,N593AS,BOEING,737-890,149
1789,N593JB,AIRBUS,A320-232,200
1790,N594AA,MCDONNELL DOUGLAS,DC-9-83(MD-83),172
1791,N594AS,BOEING,737-890,149
1792,N594JB,AIRBUS,A320-232,200
1793,N594NW,BOEING,757-351,275
1794,N594UA,BOEING,757-222,178
1795,N595AA,MCDONNELL DOUGLAS,DC-9-83(MD-83),172
1796,N595JB,AIRBUS,A320-232,200
1797,N595NW,BOEING,757-351,275
1798,N595UA,BOEING,757-222,178
1799,N596AA,MCDONNELL DOUGLAS,DC-9-83(MD-83),172
1800,N596AS,BOEING,737-890,149
1801,N596UA,BOEING,757-222,178
1802,N597AA,MCDONNELL DOUGLAS,DC-9-83(MD-83),172
1803,N597AS,BOEING,737-890,149
1804,N597JB,AIRBUS,A320-232,200
1805,N597UA,BOEING,757-222,178
1806,N598AA,MCDONNELL DOUGLAS,DC-9-83(MD-83),172
1807,N598JB,AIRBUS,A320-232,200
1808,N598UA,BOEING,757-222,178
1809,N599AA,MCDONNELL DOUGLAS,DC-9-83(MD-83),172
1810,N599JB,AIRBUS,A320-232,200
1811,N600LR,BOMBARDIER INC,CL-600-2D24,95
1812,N600QX,BOMBARDIER INC,CL-600-2C10,80
1813,N600TR,MCDONNELL DOUGLAS,DC-9-51,139
1814,N600WN,BOEING,737-3H4,149
1815,N601AW,AIRBUS,A320-232,200
1816,N601LR,BOMBARDIER INC,CL-600-2D24,95
1817,N601WN,BOEING,737-3H4,149
1818,N601XJ,BOMBARDIER INC,CL-600-2B19,55
1819,N602AW,AIRBUS INDUSTRIE,A320-232,200
1820,N602DL,BOEING,757-232,178
1821,N602LR,BOMBARDIER INC,CL-600-2D24,95
1822,N602SW,BOEING,737-3H4,149
1823,N602XJ,BOMBARDIER INC,CL-600-2B19,55
1824,N603AT,BOEING,717-200,100
1825,N603DL,BOEING,757-232,178
1826,N603JB,AIRBUS,A320-232,200
1827,N603SW,BOEING,737-3H4,149
1828,N604AW,AIRBUS INDUSTRIE,A320-232,200
1829,N604DL,BOEING,757-232,178
1830,N604LR,BOMBARDIER INC,CL-600-2D24,95
1831,N604QX,BOMBARDIER INC,CL-600-2C10,80
1832,N604SW,BOEING,737-3H4,149
1833,N605JB,AIRBUS,A320-232,200
1834,N605LR,BOMBARDIER INC,CL-600-2D24,95
1835,N605QX,BOMBARDIER INC,CL-600-2C10,80
1836,N605SW,BOEING,737-3H4,149
